Scheme_Code,Scheme_Name,AMC,Scheme_Type,Scheme_Category,Scheme_NAV_Name,Scheme_Min_Amt,NAV,Latest_NAV_Date,Average_AUM_Cr,AAUM_Quarter,ISIN_Div_Payout/Growth,ISIN_Div_Reinvestment,ISIN_Div_Payout/Growth/Div_Reinvestment,Launch_Date,Closure_Date
100033,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund - Regular Growth,5000,911.79,17-04-26,4428.2119,January - March 2026,INF209K01165,-,INF209K01165,24-02-95,24-02-95
100034,Aditya Birla Sun Life Large & Mid Cap Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Equity Scheme - Large & Mid Cap Fund,Aditya Birla Sun Life Large & Mid Cap Fund -Regular - IDCW,5000,132.79,17-04-26,457.645,January - March 2026,INF209K01157,INF209K01CE5,INF209K01157INF209K01CE5,24-02-95,24-02-95
100037,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Regular - Quarterly IDCW,5000,12.9562,17-04-26,11.1344,January - March 2026,INF209K01587,INF209K01CY3,INF209K01587INF209K01CY3,01-01-94,01-01-94
100038,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Aditya Birla Sun Life Income Fund - Growth - Regular Plan,5000,127.1693,17-04-26,780.1475,January - March 2026,INF209K01579,-,INF209K01579,01-01-94,01-01-94
100039,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Growth),5000,,,,,,,,01-01-94,01-01-94
100040,Aditya Birla Sun Life Income Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Medium to Long Duration Fund,Birla Income Plus-Institutional (Dividend),5000,,,,,,,,01-01-94,01-01-94
100041,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,108.041,18-04-26,0.2125,January - March 2026,-,INF209K01KN9,INF209K01KN9,04-06-97,07-06-97
100042,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Retail (Growth),Rs. 500/- and in multiples of Re. 1/- thereafter,716.6563,18-04-26,20.0653,January - March 2026,INF209K01ME4,-,INF209K01ME4,04-06-97,07-06-97
100043,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund-Institutional (Growth),Rs. 500/- and in multiples of Re. 1/- thereafter,735.4376,18-04-26,1.7073,January - March 2026,INF209K01RT1,-,INF209K01RT1,04-06-97,07-06-97
100044,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Retail - IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,163.7206,18-04-26,0.5724,January - March 2026,-,INF209K01KP4,INF209K01KP4,04-06-97,07-06-97
100046,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Daily IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,100.2104,18-04-26,71.8419,January - March 2026,INF209K01KQ2,INF209K01SQ5,INF209K01KQ2INF209K01SQ5,04-06-97,07-06-97
100047,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund - Growth,Rs. 500/- and in multiples of Re. 1/- thereafter,441.6191,18-04-26,9899.3572,January - March 2026,INF209K01RU9,-,INF209K01RU9,04-06-97,07-06-97
100048,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Aditya Birla Sun Life Liquid Fund -Institutional - weekly  IDCW,Rs. 500/- and in multiples of Re. 1/- thereafter,108.255,18-04-26,0.0619,January - March 2026,INF209KA1LK7,INF209K01KY6,INF209KA1LK7INF209K01KY6,04-06-97,07-06-97
100050,Aditya Birla Sun Life Liquid Fund,Aditya Birla Sun Life AMC Limited,Open Ended,Debt Scheme - Liquid Fund,Birla Cash Plus-Birla Cash Plus (Institutional Premium Weekly Dividend),Rs. 500/- and in multiples of Re. 1/- thereafter,,,,,,,,04-06-97,07-06-97
